id  a0   a1
0  119  1.1500
1  207  0.6590
2  208  0.5510
3  172  0.5490
4  130  0.4440
5  171  0.5200
6  204  0.4500
7  156  0.4850
8  185  0.4530
9  146  0.4500
10 191  0.5010
11 185  0.4200
12 154  0.4560
13 194  0.4650
14 169  0.5590
15 179  1.0000
16 168  1.1000
17 158  0.7100
18 181  0.5710
19 168  0.6000
20 173  0.5380
21 197  0.6300
22 161  0.5670
23 80   0.6220
24 129  0.6450
25 182  0.5950
26 217  0.6950
27 198  0.5240
28 135  0.5250
29 162  0.5070
30 160  0.6380
31 118  0.9990


































